movie,year,rating,genre,runtime_min,imdb,metascore,votes
Spider-Man: Across the Spider-Verse,2023.0,,"['Animation', ' Action', ' Adventure']",,,,
Adventure Time,2010.0,PG,"['Animation', ' Action', ' Adventure']",11.0,8.6,,94481.0
The Purge,2013.0,R,"['Horror', ' Sci-Fi', ' Thriller']",85.0,5.7,41.0,223938.0
Snowpiercer,2020.0,NC-17,"['Action', ' Drama', ' Sci-Fi']",60.0,6.9,,54601.0
Blade,2023.0,,"['Action', ' Adventure', ' Fantasy']",,,,
Watchmen,2009.0,R,"['Action', ' Drama', ' Mystery']",162.0,7.6,56.0,550144.0
DC's Legends of Tomorrow,2016.0,PG-13,"['Action', ' Adventure', ' Drama']",42.0,6.8,,104662.0
Wonder Woman,2017.0,PG-13,"['Action', ' Adventure', ' Fantasy']",141.0,7.4,76.0,652887.0
Station Eleven,2021.0,NC-17,"['Adventure', ' Drama', ' Fantasy']",507.0,7.6,,25404.0
Fullmetal Alchemist: Brotherhood,2009.0,PG-13,"['Animation', ' Action', ' Adventure']",24.0,9.1,,165316.0
Star Wars: Episode I - The Phantom Menace,1999.0,PG,"['Action', ' Adventure', ' Fantasy']",136.0,6.5,51.0,800913.0
Doom Patrol,2019.0,NC-17,"['Action', ' Adventure', ' Comedy']",60.0,7.8,,51636.0
Orphan Black,2013.0,NC-17,"['Drama', ' Sci-Fi', ' Thriller']",44.0,8.3,,111009.0
Her,2013.0,R,"['Drama', ' Romance', ' Sci-Fi']",126.0,8.0,91.0,608094.0
Castle Rock,2018.0,NC-17,"['Drama', ' Fantasy', ' Horror']",60.0,7.5,,45969.0
Transformers,2007.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",144.0,7.0,61.0,635944.0
Cyberpunk 2077,2020.0,PG-13,"['Action', ' Crime', ' Drama']",,8.1,,8840.0
World War Z,2013.0,PG-13,"['Action', ' Adventure', ' Horror']",116.0,7.0,63.0,662565.0
Upload,2020.0,NC-17,"['Comedy', ' Mystery', ' Sci-Fi']",30.0,7.9,,66465.0
Bee and PuppyCat,2013.0,PG,"['Animation', ' Short', ' Action']",7.0,8.2,,2584.0
Rebel Moon,,,"['Adventure', ' Drama', ' Fantasy']",,,,
Spaceballs,1987.0,PG,"['Adventure', ' Comedy', ' Sci-Fi']",96.0,7.1,46.0,190667.0
Jessica Jones,2015.0,NC-17,"['Action', ' Crime', ' Drama']",56.0,7.9,,213824.0
Doctor Strange,2016.0,PG-13,"['Action', ' Adventure', ' Fantasy']",115.0,7.5,72.0,735152.0
E.T. the Extra-Terrestrial,1982.0,PG,"['Adventure', ' Family', ' Sci-Fi']",115.0,7.9,91.0,407454.0
Heroes,2006.0,PG-13,"['Drama', ' Fantasy', ' Sci-Fi']",45.0,7.6,,241174.0
Jurassic World,2015.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124.0,6.9,59.0,640510.0
Mad God,2021.0,NC-17,"['Animation', ' Fantasy', ' Horror']",83.0,6.8,80.0,7590.0
Stargate: Atlantis,2004.0,PG,"['Action', ' Adventure', ' Drama']",44.0,8.1,,66996.0
Shining Girls,2022.0,NC-17,"['Crime', ' Drama', ' Mystery']",54.0,7.5,,13367.0
Alita: Battle Angel,2019.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",122.0,7.3,53.0,266281.0
Terminator: Dark Fate,2019.0,R,"['Action', ' Adventure', ' Sci-Fi']",128.0,6.2,54.0,177231.0
Dragon Ball Z,1989.0,PG,"['Animation', ' Action', ' Adventure']",24.0,8.8,,130240.0
Mortal Kombat,2021.0,R,"['Action', ' Adventure', ' Fantasy']",110.0,6.1,44.0,171937.0
Prometheus,2012.0,R,"['Adventure', ' Mystery', ' Sci-Fi']",124.0,7.0,64.0,608087.0
Edge of Tomorrow,2014.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",113.0,7.9,71.0,673394.0
Ghostbusters,2016.0,PG-13,"['Action', ' Comedy', ' Fantasy']",117.0,6.9,60.0,231501.0
X-Men: Dark Phoenix,2019.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",113.0,5.7,43.0,186575.0
Annihilation,2018.0,R,"['Adventure', ' Drama', ' Horror']",115.0,6.8,79.0,324535.0
Forbidden Planet,1956.0,G,"['Adventure', ' Sci-Fi']",98.0,7.5,80.0,49742.0
Battleship,2012.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",131.0,5.8,41.0,248586.0
The Platform,2019.0,NC-17,"['Horror', ' Sci-Fi', ' Thriller']",94.0,7.0,73.0,221310.0
Glitch,2022.0,NC-17,"['Comedy', ' Mystery', ' Sci-Fi']",60.0,6.1,,338.0
Resident Evil,2022.0,NC-17,"['Action', ' Horror', ' Sci-Fi']",60.0,4.0,,39642.0
Guardians of the Galaxy Vol. 2,2017.0,PG-13,"['Action', ' Adventure', ' Comedy']",136.0,7.6,67.0,673554.0
A Quiet Place Part II,2020.0,PG-13,"['Drama', ' Horror', ' Sci-Fi']",97.0,7.2,71.0,223325.0
